product_id,sku,category_code,brand_code,color,size,material,weight_grams,length_cm,width_cm,height_cm,rating_count,file_name,ingest_timestamp
2000000000015,STCR-HNK-00001,hnk,stcr,White,One-Size,Coton,305g,"22,2",17.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000022,HMNS-HNK-00002,hnk,hmns,Silver,One-Size,Steel,682g,"18,2",12.3,3.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000039,NOVW-CE-00003,ce,novw,Purple,One-Size,Wood,243g,"18,2",13.9,4.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000046,URTL-APP-00004,app,urtl,Silver,S,Ruber,225g,"17,6",4.6,5.8,50,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000053,GGRN-GRC-00005,grcy,ggrn,Silver,One-Size,Ruber,455g,"27,2",15.8,7.4,-4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000060,SLKE-BPC-00006,bpc,slke,Purple,One-Size,Plastic,232g,"28,0",13.8,6.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000077,VOLT-CE-00007,ce,volt,Blue,One-Size,Plastic,507g,"27,2",12.1,6.4,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000084,CBLT-APP-00008,app,cblt,Blue,XS,Polyester,261g,"27,7",8.5,7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000091,ARFT-SPT-00009,spt,arft,Blue,XL,Plastic,59g,"12,5",19,7.9,11,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000107,MOSA-APP-0000A,app,mosa,White,L,Polyester,238g,"10,7",17.7,10.3,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000114,CBLT-APP-0000B,app,cblt,Navy,XL,Glass,451g,"20,1",10.2,9.9,13,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000121,RKBR-TOY-0000C,toy,rkbr,White,One-Size,Coton,432g,"10,2",13.1,11.9,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000138,GMFG-TOY-0000D,toy,gmfg,White,One-Size,Alumium,573g,"21,8",16.2,8.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000145,GRBK-GRC-0000E,grcy,grbk,Yellow,One-Size,Glass,435g,"35,2",10.8,5.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000152,DMLX-BPC-0000F,bpc,dmlx,Silver,One-Size,Plastic,238g,"12,3",16.9,8.1,24,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000169,GGRN-GRC-0000G,grcy,ggrn,Navy,One-Size,Steel,135g,"7,9",9.8,10.6,61,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000176,ZNTH-CE-0000H,ce,znth,Yellow,One-Size,Wood,253g,"27,0",17.3,5.1,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000183,BTNQ-BPC-0000I,bpc,btnq,Blue,One-Size,Coton,477g,"25,2",10.4,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000190,SKYL-CE-0000J,ce,skyl,Green,One-Size,Plastic,193g,"32,5",12.6,9.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000206,GGRN-GRC-0000K,grcy,ggrn,Beige,One-Size,Glass,76g,"13,8",20.3,7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000213,ABLF-APP-0000L,app,ablf,Navy,L,Steel,593g,"14,3",14.2,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000220,HRBC-BPC-0000M,bpc,hrbc,Beige,One-Size,Ruber,176g,"20,5",23.7,9.2,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000237,BTNQ-BPC-0000N,bpc,btnq,Purple,One-Size,Wood,1089g,"4,4",11.2,9.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000244,GRBK-GRC-0000O,grcy,grbk,Silver,One-Size,Steel,190g,"27,6",19.3,9.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000251,PLCB-TOY-0000P,toy,plcb,Black,One-Size,Polyester,210g,"28,8",16.1,10.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000268,RKBR-TOY-0000Q,toy,rkbr,Green,One-Size,Paper,159g,"35,3",17.3,2.6,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000275,KDLN-TOY-0000R,toy,kdln,Purple,One-Size,Leather,137g,"17,4",14.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000282,ACME-CE-0000S,ce,acme,Navy,One-Size,Polyester,175g,"14,7",18.8,1.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000299,BTNQ-BPC-0000T,bpc,btnq,Blue,One-Size,Polyester,351g,"32,3",11.5,9.2,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
2000000000305,TRBZ-SPT-0000U,spt,trbz,Yellow,XS,Plastic,325g,"16,5",21.3,11.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-06-14T06:25:32.770Z
